jp_id,jp_sentence,en_id,en_sentence,n5,n4,n3,n2,n1,level,tokens
182865,?????????????????????????????????????,19986,"My argument is indebted in a number of places to the aesthetic theories of Adorno, Horkheimer and others.",1,1,6,1,2,N1,
78469,??????????????????????,11848304,"If it hadn't been for the storm, we would've arrived sooner.",0,1,0,0,1,N3,
188851,?????????????,25998,Could you please tell me how to get to the station?,1,3,0,0,0,N3,
191169,????????????????????????,28329,There used to be big trees around my house.,3,3,0,0,0,N3,
176990,???????????,2758078,You should thank him.,0,0,3,0,1,N3,
200999,?????????????????????????????,38204,It's a good rule to look both ways before you cross the street anywhere.,4,2,2,0,0,N3,
182014,??????????????????????,19333,Kyoko had the kindness to carry my baggage for me.,1,6,0,1,0,N3,
114079,????????????,289593,He just barely succeeded.,0,0,2,0,1,N4,
85006,?????????????????,318707,She has lived alone ever since her husband died.,4,1,3,0,0,N4,
84874,???????????????????,318840,I don't think my father is willing to lend us the car.,2,2,0,1,0,N3,
8576611,?????????????????????,6064990,Have you seen wolves around here?,1,0,0,1,0,N4,
9679075,???????????????????????,7523953,Tom came home for the Thanksgiving weekend.,0,1,3,1,1,N3,
207777,?????????????????????,45031,How large is the audience?,1,1,1,0,2,N3,
9960453,???????????????,251524,My brother has been sick since yesterday.,1,2,3,0,0,N4,
85083,??????????????????????,318630,We happened to meet again through a strange coincidence.,0,4,3,1,1,N2,
90094,????????????????,313620,She is wearing an expensive necklace.,2,0,2,0,2,N4,
161406,????????????,253111,I always get up at six.,1,2,0,0,0,N5,
113930,????????????????????,289743,He is relied on by everyone in the class.,0,0,2,0,0,N4,
78853,????????????????,324863,You had better take your umbrella in case.,0,4,0,0,1,N4,
189507,???????????????????????????????,26659,You're always lying- that's why people don't take you seriously. You get what you deserve.,1,3,2,1,0,N3,
9478637,?????????????????,7785634,I exercise for an hour every day.,4,3,0,0,0,N4,
2355836,??????????,1090381,I'm disappointed in you.,0,0,1,0,0,N3,
125357,???????????????,278636,The thief fled without leaving any traces.,1,0,2,3,0,N3,
187329,???????????????????????,24466,"Years ago, she used to hang around with a bunch of bikers.",5,2,4,1,0,N2,
3266698,????????????,1790777,I did it for you.,0,0,0,0,0,N4,
10880137,?????????,8737514,There were only two.,1,0,0,0,0,N5,
94244,???????????????,309461,Her belief in God is very firm.,1,0,3,0,2,N4,
10212512,??????????????,9741263,This TV is big and expensive.,2,0,0,0,0,N5,
10234045,????????????????????????,10234027,October is the tenth month of the year.,4,1,1,0,0,N4,
